timestamp,agent_id,event_type,tool,call_count,reason,checkpoint,risk_score,decision
2026-02-28T20:02:37.225944,aml-monitor,ALLOWED,scan_transaction,1,,,,allowed
2026-02-28T20:02:37.226025,aml-velocity,ALLOWED,check_daily_velocity,1,,,,allowed
2026-02-28T20:02:37.226082,aml-screener,ALLOWED,screen_ofac,1,,,,allowed
2026-02-28T20:02:37.226734,aml-screener,ALLOWED,screen_country,2,,,,allowed
2026-02-28T20:02:37.226747,aml-screener,CHECKPOINT,,2,,cp-aml-screener-2,,checkpoint
2026-02-28T20:02:37.226799,aml-screener,ALLOWED,screen_pep,3,,,,allowed
2026-02-28T20:02:37.226935,aml-monitor,ALLOWED,scan_transaction,2,,,,allowed
2026-02-28T20:02:37.227024,aml-monitor,ALLOWED,flag_structuring,3,,,,allowed
2026-02-28T20:02:37.227036,aml-monitor,CHECKPOINT,,3,,cp-aml-monitor-3,,checkpoint
2026-02-28T20:02:37.227129,aml-velocity,ALLOWED,check_daily_velocity,2,,,,allowed
2026-02-28T20:02:37.227175,aml-screener,ALLOWED,screen_ofac,4,,,,allowed
2026-02-28T20:02:37.227183,aml-screener,CHECKPOINT,,4,,cp-aml-screener-4,,checkpoint
2026-02-28T20:02:37.227663,aml-screener,ALLOWED,screen_country,5,,,,allowed
2026-02-28T20:02:37.227702,aml-screener,ALLOWED,screen_pep,6,,,,allowed
2026-02-28T20:02:37.227710,aml-screener,CHECKPOINT,,6,,cp-aml-screener-6,,checkpoint
2026-02-28T20:02:37.227768,aml-filer,ALLOWED,generate_sar,1,,,,allowed
2026-02-28T20:02:37.227777,aml-filer,CHECKPOINT,,1,,cp-aml-filer-1,,checkpoint
2026-02-28T20:02:37.227924,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-28T20:02:37.228065,aml-monitor,ALLOWED,scan_transaction,4,,,,allowed
2026-02-28T20:02:37.228108,aml-velocity,ALLOWED,check_daily_velocity,3,,,,allowed
2026-02-28T20:02:37.228115,aml-velocity,CHECKPOINT,,3,,cp-aml-velocity-3,,checkpoint
2026-02-28T20:02:37.228165,aml-screener,ALLOWED,screen_ofac,7,,,,allowed
2026-02-28T20:02:37.228220,aml-screener,ALLOWED,screen_country,8,,,,allowed
2026-02-28T20:02:37.228226,aml-screener,CHECKPOINT,,8,,cp-aml-screener-8,,checkpoint
2026-02-28T20:02:37.228260,aml-screener,ALLOWED,screen_pep,9,,,,allowed
2026-02-28T20:02:37.228315,aml-filer,ALLOWED,generate_sar,2,,,,allowed
2026-02-28T20:02:37.228322,aml-filer,CHECKPOINT,,2,,cp-aml-filer-2,,checkpoint
2026-02-28T20:02:37.228421,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-28T20:02:37.228554,aml-monitor,ALLOWED,scan_transaction,5,,,,allowed
2026-02-28T20:02:37.228607,aml-monitor,ALLOWED,flag_dormant_activation,6,,,,allowed
2026-02-28T20:02:37.228615,aml-monitor,CHECKPOINT,,6,,cp-aml-monitor-6,,checkpoint
2026-02-28T20:02:37.228657,aml-velocity,ALLOWED,check_daily_velocity,4,,,,allowed
2026-02-28T20:02:37.228702,aml-velocity,ALLOWED,detect_activity_spike,5,,,,allowed
2026-02-28T20:02:37.228734,aml-screener,ALLOWED,screen_ofac,10,,,,allowed
2026-02-28T20:02:37.228740,aml-screener,CHECKPOINT,,10,,cp-aml-screener-10,,checkpoint
2026-02-28T20:02:37.229263,aml-screener,ALLOWED,screen_country,11,,,,allowed
2026-02-28T20:02:37.229300,aml-screener,ALLOWED,screen_pep,12,,,,allowed
2026-02-28T20:02:37.229307,aml-screener,CHECKPOINT,,12,,cp-aml-screener-12,,checkpoint
2026-02-28T20:02:37.229431,aml-monitor,ALLOWED,scan_transaction,7,,,,allowed
2026-02-28T20:02:37.229500,aml-monitor,ALLOWED,flag_round_trip,8,,,,allowed
2026-02-28T20:02:37.230392,aml-velocity,ALLOWED,check_daily_velocity,6,,,,allowed
2026-02-28T20:02:37.230408,aml-velocity,CHECKPOINT,,6,,cp-aml-velocity-6,,checkpoint
2026-02-28T20:02:37.230470,aml-screener,ALLOWED,screen_ofac,13,,,,allowed
2026-02-28T20:02:37.230986,aml-screener,ALLOWED,screen_country,14,,,,allowed
2026-02-28T20:02:37.230996,aml-screener,CHECKPOINT,,14,,cp-aml-screener-14,,checkpoint
2026-02-28T20:02:37.231037,aml-screener,ALLOWED,screen_pep,15,,,,allowed
2026-02-28T20:02:37.231095,aml-filer,ALLOWED,generate_sar,3,,,,allowed
2026-02-28T20:02:37.231103,aml-filer,CHECKPOINT,,3,,cp-aml-filer-3,,checkpoint
2026-02-28T20:02:37.231237,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-28T20:02:37.231381,aml-monitor,ALLOWED,scan_transaction,9,,,,allowed
2026-02-28T20:02:37.231389,aml-monitor,CHECKPOINT,,9,,cp-aml-monitor-9,,checkpoint
2026-02-28T20:02:37.231436,aml-velocity,ALLOWED,check_daily_velocity,7,,,,allowed
2026-02-28T20:02:37.231495,aml-velocity,ALLOWED,detect_activity_spike,8,,,,allowed
2026-02-28T20:02:37.231533,aml-screener,ALLOWED,screen_ofac,16,,,,allowed
2026-02-28T20:02:37.231539,aml-screener,CHECKPOINT,,16,,cp-aml-screener-16,,checkpoint
2026-02-28T20:02:37.232030,aml-screener,ALLOWED,screen_country,17,,,,allowed
2026-02-28T20:02:37.232082,aml-screener,ALLOWED,screen_pep,18,,,,allowed
2026-02-28T20:02:37.232091,aml-screener,CHECKPOINT,,18,,cp-aml-screener-18,,checkpoint
2026-02-28T20:02:37.232157,aml-filer,ALLOWED,generate_sar,4,,,,allowed
2026-02-28T20:02:37.232165,aml-filer,CHECKPOINT,,4,,cp-aml-filer-4,,checkpoint
2026-02-28T20:02:37.232253,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-28T20:02:37.232397,aml-monitor,ALLOWED,scan_transaction,10,,,,allowed
2026-02-28T20:02:37.232449,aml-monitor,ALLOWED,score_geographic_risk,11,,,,allowed
2026-02-28T20:02:37.232488,aml-velocity,ALLOWED,check_daily_velocity,9,,,,allowed
2026-02-28T20:02:37.232496,aml-velocity,CHECKPOINT,,9,,cp-aml-velocity-9,,checkpoint
2026-02-28T20:02:37.232554,aml-velocity,ALLOWED,detect_activity_spike,10,,,,allowed
2026-02-28T20:02:37.232594,aml-screener,ALLOWED,screen_ofac,19,,,,allowed
2026-02-28T20:02:37.233163,aml-screener,ALLOWED,screen_country,20,,,,allowed
2026-02-28T20:02:37.233172,aml-screener,CHECKPOINT,,20,,cp-aml-screener-20,,checkpoint
2026-02-28T20:02:37.233218,aml-screener,ALLOWED,screen_pep,21,,,,allowed
2026-02-28T20:02:37.233271,aml-filer,ALLOWED,generate_sar,5,,,,allowed
2026-02-28T20:02:37.233278,aml-filer,CHECKPOINT,,5,,cp-aml-filer-5,,checkpoint
2026-02-28T20:02:37.233409,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
2026-02-28T20:02:37.233559,aml-monitor,ALLOWED,scan_transaction,12,,,,allowed
2026-02-28T20:02:37.233567,aml-monitor,CHECKPOINT,,12,,cp-aml-monitor-12,,checkpoint
2026-02-28T20:02:37.233618,aml-monitor,ALLOWED,score_geographic_risk,13,,,,allowed
2026-02-28T20:02:37.233657,aml-velocity,ALLOWED,check_daily_velocity,11,,,,allowed
2026-02-28T20:02:37.233710,aml-velocity,ALLOWED,detect_activity_spike,12,,,,allowed
2026-02-28T20:02:37.233717,aml-velocity,CHECKPOINT,,12,,cp-aml-velocity-12,,checkpoint
2026-02-28T20:02:37.233769,aml-screener,ALLOWED,screen_ofac,22,,,,allowed
2026-02-28T20:02:37.233776,aml-screener,CHECKPOINT,,22,,cp-aml-screener-22,,checkpoint
2026-02-28T20:02:37.234186,aml-screener,ALLOWED,screen_country,23,,,,allowed
2026-02-28T20:02:37.234235,aml-screener,ALLOWED,screen_pep,24,,,,allowed
2026-02-28T20:02:37.234243,aml-screener,CHECKPOINT,,24,,cp-aml-screener-24,,checkpoint
2026-02-28T20:02:37.234290,aml-filer,ALLOWED,generate_sar,6,,,,allowed
2026-02-28T20:02:37.234297,aml-filer,CHECKPOINT,,6,,cp-aml-filer-6,,checkpoint
2026-02-28T20:02:37.234386,aml-filer,BLOCKED,submit_sar,,SAR submission requires human approval (BSA/AML §5318(g)),,,blocked
